district_type,nbr_floors,units,hospital,bld_age,Elevator,Parking,Security,CCTV,Pool,Sauna,Gym,Garden,Playground,Shop,Restaurant,Wifi,floor*age,Aver_trans,Aver_food,Aver_school,Aver_shop,price_sqm
3,8,49,2,8,1,1,1,1,0,0,1,0,0,0,0,0,64,0.668,0.379,0.436,1.5,62531
3,47,561,2.9,9,1,1,1,1,1,1,1,1,0,1,1,0,423,1.394,0.04875,0.972,1.04,120962
3,8,505,0.69,8,1,1,1,1,1,0,1,1,0,0,0,1,64,3.7,0.66,1.088,0.848,79862
3,8,77,1.3,7,1,1,1,1,1,0,1,0,0,0,0,1,56,3.082,1.3075,0.984,1.92,64861
3,7,27,3.2,8,1,1,1,1,1,0,1,0,1,0,0,1,56,2.02,1.15,1.236,1.8,67561
3,19,801,2.2,10,1,1,1,1,1,1,1,1,1,1,1,1,190,1.6,0.3625,1.026,2.128,98780
3,8,236,0.75,9,1,1,1,1,1,0,1,1,0,0,0,0,72,2.48,0.26,0.512,0.494,108462
3,8,127,2.9,5,1,1,1,1,1,0,1,1,0,0,0,1,40,1.478,0.079,1.002,1.028,108889
3,8,62,2.5,6,1,1,1,1,1,0,0,1,0,0,0,0,48,1.484,0.3115,1.156,1.582,100000
3,25,153,3.1,11,1,1,1,1,1,0,1,0,0,0,0,0,275,1.454,0.049,1.048,1.056,103611
3,8,79,2.5,11,1,1,1,1,1,0,1,0,1,0,0,0,88,1.866,0.5125,1.188,2.376,65927
3,26,900,1.5,8,1,1,1,1,1,1,1,1,0,0,0,0,208,1.378,0.805,1.382,1.1834,84036
3,8,389,1.9,5,1,1,1,1,1,1,1,1,0,1,1,0,40,2.08,0.5725,1.45,1.272,82813
3,8,223.5,2.7,13,1,1,1,1,0,0,0,0,0,1,0,0,104,1.29,0.2095,0.844,0.74,30022
3,32,322,1.9,7,1,1,1,1,1,0,1,0,1,0,0,1,224,1.91,0.79,1.464,1.34,91489
3,20,150,2.8,27,1,1,1,1,1,0,0,0,0,0,0,0,540,1.364,0.15625,0.904,0.788,60000
3,7,55,2.3,23,1,1,1,1,1,0,1,0,0,0,0,0,161,1.64,0.3545,0.944,1.136,47368
